,building_class_category
13 CONDOS - ELEVATOR APARTMENTS            ,970
02 TWO FAMILY DWELLINGS                    ,891
10 COOPS - ELEVATOR APARTMENTS             ,804
01 ONE FAMILY DWELLINGS                    ,641
03 THREE FAMILY DWELLINGS                  ,408
07 RENTALS - WALKUP APARTMENTS             ,311
09 COOPS - WALKUP APARTMENTS               ,128
04 TAX CLASS 1 CONDOS                      ,127
05 TAX CLASS 1 VACANT LAND                 ,110
15 CONDOS - 2-10 UNIT RESIDENTIAL          ,108
44 CONDO PARKING                           ,80
17 CONDO COOPS                             ,78
14 RENTALS - 4-10 UNIT                     ,73
22 STORE BUILDINGS                         ,48
47 CONDO NON-BUSINESS STORAGE              ,37
12 CONDOS - WALKUP APARTMENTS              ,36
29 COMMERCIAL GARAGES                      ,28
43 CONDO OFFICE BUILDINGS                  ,26
08 RENTALS - ELEVATOR APARTMENTS           ,25
30 WAREHOUSES                              ,22
31 COMMERCIAL VACANT LAND                  ,21
41 TAX CLASS 4 - OTHER                     ,18
46 CONDO STORE BUILDINGS                   ,14
21 OFFICE BUILDINGS                        ,13
06 TAX CLASS 1 - OTHER                     ,11
33 EDUCATIONAL FACILITIES                  ,11
37 RELIGIOUS FACILITIES                    ,10
16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,9
27 FACTORIES                               ,8
26 OTHER HOTELS                            ,7
45 CONDO HOTELS                            ,6
32 HOSPITAL AND HEALTH FACILITIES          ,5
35 INDOOR PUBLIC AND CULTURAL FACILITIES   ,4
23 LOFT BUILDINGS                          ,2
48 CONDO TERRACES/GARDENS/CABANAS          ,1
11A CONDO-RENTALS                           ,1
11 SPECIAL CONDO BILLING LOTS              ,1
