,building_class_category
13 CONDOS - ELEVATOR APARTMENTS            ,3308
10 COOPS - ELEVATOR APARTMENTS             ,3003
02 TWO FAMILY DWELLINGS                    ,2897
01 ONE FAMILY DWELLINGS                    ,2138
03 THREE FAMILY DWELLINGS                  ,1103
07 RENTALS - WALKUP APARTMENTS             ,848
09 COOPS - WALKUP APARTMENTS               ,502
15 CONDOS - 2-10 UNIT RESIDENTIAL          ,406
44 CONDO PARKING                           ,356
04 TAX CLASS 1 CONDOS                      ,340
17 CONDO COOPS                             ,246
05 TAX CLASS 1 VACANT LAND                 ,223
14 RENTALS - 4-10 UNIT                     ,179
22 STORE BUILDINGS                         ,175
29 COMMERCIAL GARAGES                      ,155
12 CONDOS - WALKUP APARTMENTS              ,141
47 CONDO NON-BUSINESS STORAGE              ,131
43 CONDO OFFICE BUILDINGS                  ,106
08 RENTALS - ELEVATOR APARTMENTS           ,99
31 COMMERCIAL VACANT LAND                  ,77
30 WAREHOUSES                              ,64
21 OFFICE BUILDINGS                        ,61
45 CONDO HOTELS                            ,53
26 OTHER HOTELS                            ,49
46 CONDO STORE BUILDINGS                   ,44
27 FACTORIES                               ,37
06 TAX CLASS 1 - OTHER                     ,32
41 TAX CLASS 4 - OTHER                     ,29
16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,27
32 HOSPITAL AND HEALTH FACILITIES          ,19
37 RELIGIOUS FACILITIES                    ,17
23 LOFT BUILDINGS                          ,15
33 EDUCATIONAL FACILITIES                  ,13
28 COMMERCIAL CONDOS                       ,11
35 INDOOR PUBLIC AND CULTURAL FACILITIES   ,9
11A CONDO-RENTALS                           ,9
25 LUXURY HOTELS                           ,7
48 CONDO TERRACES/GARDENS/CABANAS          ,7
36 OUTDOOR RECREATIONAL FACILITIES         ,6
38 ASYLUMS AND HOMES                       ,5
34 THEATRES                                ,2
40 SELECTED GOVERNMENTAL FACILITIES        ,1
49 CONDO WAREHOUSES/FACTORY/INDUS          ,1
