building_class_category,count
13 CONDOS - ELEVATOR APARTMENTS,11427
10 COOPS - ELEVATOR APARTMENTS,9845
02 TWO FAMILY DWELLINGS,9501
01 ONE FAMILY DWELLINGS,7215
03 THREE FAMILY DWELLINGS,3441
07 RENTALS - WALKUP APARTMENTS,2887
09 COOPS - WALKUP APARTMENTS,1631
15 CONDOS - 2-10 UNIT RESIDENTIAL,1165
17 CONDO COOPS,1012
04 TAX CLASS 1 CONDOS,931
44 CONDO PARKING,921
05 TAX CLASS 1 VACANT LAND,643
22 STORE BUILDINGS,591
12 CONDOS - WALKUP APARTMENTS,570
14 RENTALS - 4-10 UNIT,553
29 COMMERCIAL GARAGES,395
08 RENTALS - ELEVATOR APARTMENTS,340
47 CONDO NON-BUSINESS STORAGE,321
43 CONDO OFFICE BUILDINGS,307
31 COMMERCIAL VACANT LAND,288
21 OFFICE BUILDINGS,247
30 WAREHOUSES,207
45 CONDO HOTELS,205
27 FACTORIES,144
46 CONDO STORE BUILDINGS,130
41 TAX CLASS 4 - OTHER,123
26 OTHER HOTELS,103
06 TAX CLASS 1 - OTHER,93
16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT,77
37 RELIGIOUS FACILITIES,70
32 HOSPITAL AND HEALTH FACILITIES,50
23 LOFT BUILDINGS,44
33 EDUCATIONAL FACILITIES,43
11A CONDO-RENTALS,41
48 CONDO TERRACES/GARDENS/CABANAS,37
49 CONDO WAREHOUSES/FACTORY/INDUS,27
28 COMMERCIAL CONDOS,25
35 INDOOR PUBLIC AND CULTURAL FACILITIES,23
38 ASYLUMS AND HOMES,18
36 OUTDOOR RECREATIONAL FACILITIES,13
25 LUXURY HOTELS,11
34 THEATRES,11
42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC,6
18 TAX CLASS 3 - UNTILITY PROPERTIES,4
11 SPECIAL CONDO BILLING LOTS,2
39 TRANSPORTATION FACILITIES,2
40 SELECTED GOVERNMENTAL FACILITIES,2
