,building_class_category
13 CONDOS - ELEVATOR APARTMENTS            ,1552
02 TWO FAMILY DWELLINGS                    ,1341
10 COOPS - ELEVATOR APARTMENTS             ,1187
01 ONE FAMILY DWELLINGS                    ,894
03 THREE FAMILY DWELLINGS                  ,431
07 RENTALS - WALKUP APARTMENTS             ,411
09 COOPS - WALKUP APARTMENTS               ,227
44 CONDO PARKING                           ,194
15 CONDOS - 2-10 UNIT RESIDENTIAL          ,136
04 TAX CLASS 1 CONDOS                      ,124
05 TAX CLASS 1 VACANT LAND                 ,107
12 CONDOS - WALKUP APARTMENTS              ,104
14 RENTALS - 4-10 UNIT                     ,87
17 CONDO COOPS                             ,86
22 STORE BUILDINGS                         ,78
29 COMMERCIAL GARAGES                      ,62
08 RENTALS - ELEVATOR APARTMENTS           ,53
47 CONDO NON-BUSINESS STORAGE              ,38
31 COMMERCIAL VACANT LAND                  ,31
21 OFFICE BUILDINGS                        ,28
27 FACTORIES                               ,28
30 WAREHOUSES                              ,28
43 CONDO OFFICE BUILDINGS                  ,23
45 CONDO HOTELS                            ,19
26 OTHER HOTELS                            ,18
46 CONDO STORE BUILDINGS                   ,15
16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,13
41 TAX CLASS 4 - OTHER                     ,12
33 EDUCATIONAL FACILITIES                  ,9
11A CONDO-RENTALS                           ,9
37 RELIGIOUS FACILITIES                    ,9
06 TAX CLASS 1 - OTHER                     ,9
23 LOFT BUILDINGS                          ,5
48 CONDO TERRACES/GARDENS/CABANAS          ,5
32 HOSPITAL AND HEALTH FACILITIES          ,4
38 ASYLUMS AND HOMES                       ,4
25 LUXURY HOTELS                           ,3
42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC  ,2
35 INDOOR PUBLIC AND CULTURAL FACILITIES   ,2
28 COMMERCIAL CONDOS                       ,2
34 THEATRES                                ,2
36 OUTDOOR RECREATIONAL FACILITIES         ,2
40 SELECTED GOVERNMENTAL FACILITIES        ,1
18 TAX CLASS 3 - UNTILITY PROPERTIES       ,1
