,building_class_category
13 CONDOS - ELEVATOR APARTMENTS            ,1097
10 COOPS - ELEVATOR APARTMENTS             ,1059
02 TWO FAMILY DWELLINGS                    ,1051
01 ONE FAMILY DWELLINGS                    ,700
03 THREE FAMILY DWELLINGS                  ,425
07 RENTALS - WALKUP APARTMENTS             ,379
09 COOPS - WALKUP APARTMENTS               ,176
15 CONDOS - 2-10 UNIT RESIDENTIAL          ,137
44 CONDO PARKING                           ,100
04 TAX CLASS 1 CONDOS                      ,94
22 STORE BUILDINGS                         ,85
17 CONDO COOPS                             ,78
05 TAX CLASS 1 VACANT LAND                 ,63
12 CONDOS - WALKUP APARTMENTS              ,59
29 COMMERCIAL GARAGES                      ,57
08 RENTALS - ELEVATOR APARTMENTS           ,46
31 COMMERCIAL VACANT LAND                  ,44
14 RENTALS - 4-10 UNIT                     ,38
21 OFFICE BUILDINGS                        ,36
47 CONDO NON-BUSINESS STORAGE              ,35
43 CONDO OFFICE BUILDINGS                  ,27
45 CONDO HOTELS                            ,26
30 WAREHOUSES                              ,22
06 TAX CLASS 1 - OTHER                     ,21
26 OTHER HOTELS                            ,19
41 TAX CLASS 4 - OTHER                     ,18
27 FACTORIES                               ,17
46 CONDO STORE BUILDINGS                   ,10
37 RELIGIOUS FACILITIES                    ,9
16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,6
32 HOSPITAL AND HEALTH FACILITIES          ,5
48 CONDO TERRACES/GARDENS/CABANAS          ,5
33 EDUCATIONAL FACILITIES                  ,5
38 ASYLUMS AND HOMES                       ,4
23 LOFT BUILDINGS                          ,3
35 INDOOR PUBLIC AND CULTURAL FACILITIES   ,3
34 THEATRES                                ,3
18 TAX CLASS 3 - UNTILITY PROPERTIES       ,3
11A CONDO-RENTALS                           ,3
39 TRANSPORTATION FACILITIES               ,1
11 SPECIAL CONDO BILLING LOTS              ,1
49 CONDO WAREHOUSES/FACTORY/INDUS          ,1
