,building_class_category
13 CONDOS - ELEVATOR APARTMENTS            ,4500
10 COOPS - ELEVATOR APARTMENTS             ,3792
02 TWO FAMILY DWELLINGS                    ,3321
01 ONE FAMILY DWELLINGS                    ,2842
03 THREE FAMILY DWELLINGS                  ,1074
07 RENTALS - WALKUP APARTMENTS             ,938
09 COOPS - WALKUP APARTMENTS               ,598
17 CONDO COOPS                             ,524
15 CONDOS - 2-10 UNIT RESIDENTIAL          ,378
04 TAX CLASS 1 CONDOS                      ,246
12 CONDOS - WALKUP APARTMENTS              ,230
22 STORE BUILDINGS                         ,205
44 CONDO PARKING                           ,191
14 RENTALS - 4-10 UNIT                     ,176
05 TAX CLASS 1 VACANT LAND                 ,140
43 CONDO OFFICE BUILDINGS                  ,125
08 RENTALS - ELEVATOR APARTMENTS           ,117
31 COMMERCIAL VACANT LAND                  ,115
21 OFFICE BUILDINGS                        ,109
45 CONDO HOTELS                            ,101
29 COMMERCIAL GARAGES                      ,93
47 CONDO NON-BUSINESS STORAGE              ,80
30 WAREHOUSES                              ,71
27 FACTORIES                               ,54
46 CONDO STORE BUILDINGS                   ,47
41 TAX CLASS 4 - OTHER                     ,46
49 CONDO WAREHOUSES/FACTORY/INDUS          ,25
37 RELIGIOUS FACILITIES                    ,25
16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,22
06 TAX CLASS 1 - OTHER                     ,20
11A CONDO-RENTALS                           ,19
23 LOFT BUILDINGS                          ,19
48 CONDO TERRACES/GARDENS/CABANAS          ,19
32 HOSPITAL AND HEALTH FACILITIES          ,17
28 COMMERCIAL CONDOS                       ,12
26 OTHER HOTELS                            ,10
38 ASYLUMS AND HOMES                       ,5
36 OUTDOOR RECREATIONAL FACILITIES         ,5
35 INDOOR PUBLIC AND CULTURAL FACILITIES   ,5
33 EDUCATIONAL FACILITIES                  ,5
34 THEATRES                                ,4
42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC  ,4
25 LUXURY HOTELS                           ,1
39 TRANSPORTATION FACILITIES               ,1
